,SVD_1,SVD_2,SVD_3,SVD_4,SVD_5,SVD_6,SVD_7,SVD_8,SVD_9,SVD_10,SVD_11,SVD_12,SVD_13,SVD_14,SVD_15,SVD_16,SVD_17,SVD_18,SVD_19,SVD_20,SVD_21,SVD_22,SVD_23,SVD_24,SVD_25
UK01A,119.51258627076142,30.206870240279482,257.89278076171286,244.542209037851,1476.1709521811958,-886.6073236841426,877.4607506086178,-748.7175820943975,-459.22833737002554,-222.31925271334998,-248.07447852614172,323.46394609365785,-133.8081803094401,-37.632463069186514,-566.8982551413363,359.3109106362031,-89.0698467066565,35.93878075065267,-80.95572462253041,74.5556961181271,204.64388664150783,-44.432424165854854,-75.56656695870483,-28.152541971796428,-139.7769111256308
UK02A,184.85587512083833,44.575649310631775,394.888151803602,340.56236346681527,2222.852732151195,-1271.2398916724214,1316.6284864558909,-1090.6807601383118,-736.1075342121105,-323.1438936535366,-383.26627479173385,522.920101573768,-259.74791345516707,-88.74892093841522,-963.8602135173574,590.3585203942305,-68.02555448241577,-130.8054195689696,-132.90671996975377,124.22602558811886,291.27950531923864,-43.42464188911515,-21.048832449401726,-121.88106816571235,-222.78986052925256
UK03A,176.09360046445784,47.11619872497915,391.3205137332422,351.13945028734906,2224.9449273082796,-1291.7577279541924,1319.2044757685699,-1115.5541438639652,-725.117653269598,-331.4089475839132,-399.06589451589826,509.8741633707869,-263.41725642264754,-61.05420515936053,-938.8276212560155,573.4016864638967,-61.09936937813434,-127.65373171713665,-125.36242785522221,118.64759429590065,264.29079037049195,-21.878628441150887,-38.73437788566744,-73.75711105140279,-183.43581389634676
UK04A,188.05592037838335,45.1430476507319,405.89910463468215,335.81256255020605,2275.7280900209116,-1367.8353751136056,1378.4028607639164,-1152.4973810832605,-787.089174110837,-359.2241845286265,-407.6253069796497,551.8905928750384,-296.120618537032,-128.96912031283765,-1041.702827580682,598.5148852501223,-104.10081323928681,-251.19959271927166,-164.76512341638409,188.26291904167994,316.61834072862547,-25.531131317209994,10.909644596569102,-205.97132875120724,-358.286225114061
UK05A,183.1313575165177,45.60362246406428,414.2526476877818,326.15803551760524,2297.905647094831,-1415.437251079149,1424.0575987083078,-1168.9394468194455,-812.2251390341788,-382.0596600407154,-470.28609969059954,587.501818450559,-317.5856628058501,-100.51753151724446,-1177.3809686521388,649.8028230510638,-171.5395294880793,-265.68025435685615,-160.74373800840982,161.55072879852736,365.6336933283028,-83.97097765051598,-1.5102779138056424,-207.4125242268656,-486.80316441697516
UK06A,172.3567787487462,49.49080704492182,409.63245897744105,339.11848831751837,2270.558208293052,-1405.8247065765445,1392.3791546223736,-1163.3971654396482,-765.8726238046303,-372.72520531093306,-441.4932837998705,556.6227431226444,-291.79211712398467,-74.75213366446981,-1072.3374182615473,620.2747331199107,-135.6198214553599,-206.48765218499642,-152.40213776715922,156.24304729317382,345.1720008826809,-67.5956131144547,-13.832090621134899,-169.6685080534986,-439.27229096967693
UK08A,163.53919055509922,54.49241284533917,372.71043086235966,327.9280851053973,2131.9309769294778,-1263.5723301260443,1286.28917639621,-1118.0877677848796,-717.6278126715785,-348.8867712182457,-367.79613861146015,494.704116771594,-228.56927799766288,-71.9277239148206,-919.1781344494404,537.4567354603363,-189.50017734398432,-108.00194772131933,-153.93606726748354,194.20915675599656,310.1663179428688,-66.59143743749088,-30.10839147619494,-138.5259707752043,-393.12341643209476
UK09A,163.72377148824847,46.77361319276481,351.46307341784626,258.1883021857437,1951.8871763069653,-1141.298890978929,1201.7577845845988,-995.305308315007,-719.7040137176022,-335.453643876416,-374.27376149587354,538.8092020512784,-282.81180779449943,-121.2393131948924,-1070.9118525806978,574.6174617639568,-148.19650709528415,-360.5619490829663,-170.19604911782008,190.0599253157989,322.12649119019966,-68.18918077146598,62.55454012272682,-197.87762587503548,-400.25885835526987
UK10A,171.0838849083667,41.47207063928841,339.07042620180545,253.32783915940357,1906.2276509145302,-1116.9104958493028,1172.535575312705,-937.5843460680165,-704.7403500199523,-311.6507310626893,-393.9326433458601,512.4645389605405,-261.39546216429056,-107.628028213623,-1034.4473126132712,558.2216045915674,-144.57953331746518,-364.2967258173153,-148.25121873103367,156.19620282330678,283.4860413603386,-42.909890175773455,49.60053717584527,-135.39589093000822,-359.74001128475106
UK11A,170.7275645864856,44.011777009201055,360.3536613849431,265.9302139049795,1998.7529519443194,-1243.827357721964,1257.257205732797,-1029.3709845676638,-740.3286707967486,-368.1297031275576,-411.7277308990609,545.2016944749656,-284.0580323412,-123.07686664118538,-1082.566975485712,543.0136942812198,-225.3559922213788,-442.178019613453,-166.89508732308536,192.7090243265827,307.62292903197186,-28.946008893089292,68.20472801156407,-188.41886204634673,-437.0943713467798
UK12A,144.93533822974743,49.51294952585697,400.9411389101927,316.0028517241643,2215.4819452155734,-1419.0319728995596,1406.0126840603725,-1220.3231234082039,-753.9552775218596,-452.07472511583694,-510.7161408508411,598.6336531298983,-303.1166134874082,-3.620688489506359,-1131.457862474922,588.4694012802229,-348.3647005490235,-513.7769511642084,-146.03247147779734,122.17249292392667,332.7667656680978,-33.14390182204224,-36.17861536581493,-76.91556972325597,-458.25355525363403
UK13A,137.45139889416328,41.2691087750072,338.4499536794565,293.2742187986327,1938.589858607744,-1257.6098767615333,1250.888059914531,-1054.8159016787984,-726.1410540202123,-390.6565939605325,-666.9322732367236,692.1795702686735,-243.80617269728154,68.25876492163177,-1463.6050080634384,961.102095543128,-522.7644013067785,-292.0324952734543,-115.7799000380782,-59.1788371211439,556.9720752558728,-233.1427601959788,-220.97465266009468,312.6594315784395,-588.1267867826433
UK14A,200.26137782697413,47.276817879483346,456.1967431394608,412.7852778619976,2627.569051246407,-1712.9606642302947,1626.5304352294938,-1403.3621453503708,-837.692518501693,-523.87148799341,-392.1414675047918,554.4148342352562,-230.32748599122763,-82.93075294579734,-966.6831775983427,492.4634406436071,-329.8234800138515,-159.8200196988286,-183.68184391364048,222.53108837564906,388.71596118892785,-58.32262646859376,-27.53602462261604,-280.5725072695954,-502.0219886868831
UK15A,173.28250576222715,50.78349627851853,438.2884255734655,392.50374816338905,2455.38678626499,-1548.9534841128973,1488.3938278623243,-1306.8264273596624,-736.1807869922255,-462.678736702032,-347.83740914011537,461.54323047018556,-233.26644750032364,-30.00176997016188,-751.0124065812457,341.99138738751543,-184.165240015103,-239.56038737478949,-140.47793260362204,188.96859764493897,209.94257742057678,35.346285267136246,32.612232236067335,-255.58215135070256,-266.6305058463141
UK16A,170.05621597236672,49.90004286766766,435.7491291714897,365.1323982592119,2407.453397093552,-1554.2075545016585,1487.3439489876246,-1285.8306873048675,-720.9774089673348,-450.8480345797989,-354.5216888594525,475.041340800996,-260.80017024904737,-57.07606264926988,-795.2456962454976,342.0296353238629,-152.69597082462383,-334.917117465046,-149.112124062766,185.08518193491958,210.40015100049018,9.464350032896906,91.15722182862689,-334.39374543968535,-215.936688284878
UK17A,172.92900053662095,49.387570347507065,436.0464767481313,333.68692750055595,2376.225060037015,-1531.1305666986077,1482.6123141687722,-1250.4844818565,-729.0483607340541,-469.5935962151445,-344.7053830807008,481.95948289579945,-296.5480517067139,-91.94660599866958,-841.6494821111887,277.9852106106343,-144.95993090888555,-495.00624506648256,-150.4075746540605,201.21004601418164,174.20690840426602,40.404147753132804,178.1745541891151,-418.7442482036046,-239.36154218838493
UK18A,174.92326372461417,39.19394044744165,397.51013780347756,315.7549675488759,2213.3423684793806,-1386.1037677620577,1361.1828748136652,-1131.4034109766783,-681.5556276435087,-407.9101443838719,-309.5061109889961,437.3422359421195,-255.39800461429107,-81.58079917831814,-748.4247632450165,263.4497126922094,-60.94762577609792,-381.00457395899514,-125.88421284545845,165.97526973915114,136.6024165995699,59.71302357429819,91.84952996673623,-272.8763456980149,-138.9362541424114
UK19A,153.1571064570274,45.10254291073664,390.51444956444163,344.84404561936054,2239.8226437822163,-1406.0712619285146,1368.2277560142584,-1195.6369563003714,-666.8380737465313,-417.86389137951863,-345.95552765534507,449.1354084341443,-239.9922547199148,-33.28614857546408,-759.5586968420073,341.10874752251897,-148.7061939975833,-261.2711147388033,-132.96969038778727,163.13359126628617,216.14419655375252,15.226532372898014,41.46985146687627,-259.17865553413367,-271.22396742485944
